manufacturer_processed,t_cap,t_hh,t_rd,t_rsa,rotor_weight,turbine_blade_weight
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
ge wind,1500.0,80.0,77.0,4656.63,29.608702,4.934784
